Producing dataset...
Eval batch size of 16
Total number of tokens: 205
Using []
Args: Namespace(accumulate=1, alpha=2, batch_size=16, beta=1, bptt=1024, clip=0.25, cooldown=None, cuda=True, data='data/enwik8/', dropout=0.1, dropoute=0.1, dropouth=0.1, dropouti=0.1, emsize=1024, epochs=2, log_interval=10, lr=0.002, model='LSTM', nhid=4096, nlayers=4, nonmono=5, optimizer='lamb', resume='', save='ENWIK8.pt', seed=5512, tied=True, warmup=800, wdecay=1.2e-06, wdrop=0.0, when=[-1])
Model total parameters: 53790932
Selected optimization level O1:  Insert automatic casts around Pytorch functions and Tensor methods.

Defaults for this optimization level are:
enabled                : True
opt_level              : O1
cast_model_type        : None
patch_torch_functions  : True
keep_batchnorm_fp32    : None
master_weights         : None
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O1
cast_model_type        : None
patch_torch_functions  : True
keep_batchnorm_fp32    : None
master_weights         : None
loss_scale             : dynamic
| epoch   0 |    10/ 5493 batches | lr 0.00003 | ms/batch 692.53 | loss  5.68 | ppl   294.03 | bpc    8.200
| epoch   0 |    20/ 5493 batches | lr 0.00005 | ms/batch 614.51 | loss  4.31 | ppl    74.25 | bpc    6.214
| epoch   0 |    30/ 5493 batches | lr 0.00008 | ms/batch 581.07 | loss  3.66 | ppl    38.97 | bpc    5.284
| epoch   0 |    40/ 5493 batches | lr 0.00010 | ms/batch 576.93 | loss  3.57 | ppl    35.42 | bpc    5.147
| epoch   0 |    50/ 5493 batches | lr 0.00013 | ms/batch 578.32 | loss  3.49 | ppl    32.66 | bpc    5.029
| epoch   0 |    60/ 5493 batches | lr 0.00015 | ms/batch 558.40 | loss  3.41 | ppl    30.28 | bpc    4.920
| epoch   0 |    70/ 5493 batches | lr 0.00018 | ms/batch 586.38 | loss  3.26 | ppl    26.14 | bpc    4.708
| epoch   0 |    80/ 5493 batches | lr 0.00020 | ms/batch 584.44 | loss  3.01 | ppl    20.32 | bpc    4.345
| epoch   0 |    90/ 5493 batches | lr 0.00023 | ms/batch 592.74 | loss  2.90 | ppl    18.13 | bpc    4.180
| epoch   0 |   100/ 5493 batches | lr 0.00025 | ms/batch 620.20 | loss  2.66 | ppl    14.33 | bpc    3.841
| epoch   0 |   110/ 5493 batches | lr 0.00028 | ms/batch 602.71 | loss  2.64 | ppl    13.99 | bpc    3.806
| epoch   0 |   120/ 5493 batches | lr 0.00030 | ms/batch 611.07 | loss  2.53 | ppl    12.54 | bpc    3.649
